Vitals:
Short Term Values:
Time,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
"2021-04-15 17:44:40","60436440","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","1","29","131072","10497","242644","167071","18148","12275","404408","17664","0","13","1","0","28724","92","36","17461","0","0",
"2021-04-15 17:44:41","60450764","0","0","0","1","0","0","0","99","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","2","29","131072","10137","242644","145630","18148","10746","404408","17664","0","13","1","0","28724","87","36","15461","0","2000",
"2021-04-15 17:44:42","60450512","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","2","29","131072","10140","242644","145630","18148","10746","404408","17664","0","13","1","0","28724","87","36","15461","0","0",
"2021-04-15 17:44:43","60450512","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","1","29","131072","10140","242644","145630","18148","10746","404408","17664","0","13","1","0","28724","87","36","15461","0","0",
"2021-04-15 17:44:44","60476216","0","0","0","1","0","1","0","99","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","2","29","131072","9780","242644","124189","18148","9217","404408","17664","0","13","1","0","28724","82","36","13461","0","2000",
"2021-04-15 17:44:45","60475964","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","2","29","131072","9783","242644","124189","18148","9217","404408","17664","0","13","1","0","28724","82","36","13461","0","0",
"2021-04-15 17:44:46","60475964","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","1","29","131072","9783","242644","124189","18148","9217","404408","17664","0","13","1","0","28724","82","36","13461","0","0",
"2021-04-15 17:44:47","60489700","0","0","0","1","0","0","0","99","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","17","2","29","131072","9426","242644","102748","18148","7689","404408","17664","0","13","1","0","28724","77","36","11461","0","2000",
"2021-04-15 17:44:48","60489700","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","2","29","131072","9426","242644","102748","18148","7689","404408","17664","0","13","1","0","28724","77","36","11461","0","0",
"2021-04-15 17:44:49","60489700","0","0","0","1","0","0","0","100","0","0","0","4081124","483532","446848","36684","0","0","0","0","9","12","1","29","131072","9426","242644","102748","18148","7689","404408","17664","0","13","1","0","28724","77","36","11461","0","0",
