Vitals:
Short Term Values:
Time,avail,swap,si,so,pr,pb,cpu-us,cpu-sy,cpu-id,cpu-wa,cpu-st,cpu-gu,virt,rss-all,rss-anon,rss-file,rss-shm,swdo,cpu-us,cpu-sy,io-of,io-rd,io-wr,thr,heap-comm,heap-used,meta-comm,meta-used,meta-csc,meta-csu,meta-gctr,code,mlc,jthr-num,jthr-nd,jthr-cr,jthr-st,cldg-num,cldg-anon,cls-num,cls-ld,cls-uld,
"2021-04-15 17:43:21","60661740","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:22","60661740","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:23","60661740","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:24","60661740","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:25","60661740","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","16","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:26","60661740","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","2","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:27","60661740","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:28","60661472","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:29","60661476","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:30","60661476","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:31","60661476","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:32","60661520","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:33","60661580","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8380","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:34","60661600","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:35","60661384","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","16","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:36","60661384","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","2","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:37","60661384","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:38","60661384","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:39","60661384","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
"2021-04-15 17:43:40","60661132","0","0","0","1","0","0","0","100","0","0","0","4130284","409112","372596","36516","0","0","0","0","9","12","1","29","131072","8382","158404","38669","18176","3102","393716","18048","0","13","1","0","28724","62","36","5461","0","0",
