Vitals:
Short Term Values:
Time,syst-avail,syst-crt,syst-swap,syst-si,syst-so,syst-p,syst-t,syst-pr,syst-pb,syst-cpu-us,syst-cpu-sy,syst-cpu-id,syst-cpu-wa,syst-cpu-st,syst-cpu-gu,proc-virt,proc-rss-all,proc-rss-anon,proc-rss-file,proc-rss-shm,proc-swdo,proc-cpu-us,proc-cpu-sy,proc-io-of,proc-io-rd,proc-io-wr,proc-thr,jvm-heap-comm,jvm-heap-used,jvm-meta-comm,jvm-meta-used,jvm-meta-csc,jvm-meta-csu,jvm-meta-gctr,jvm-code,jvm-mlc,jvm-jthr-num,jvm-jthr-nd,jvm-jthr-cr,jvm-jthr-st,jvm-cldg-num,jvm-cldg-anon,jvm-cls-num,jvm-cls-ld,jvm-cls-uld,
"2021-04-15 17:42:41","60450120","36","0","0","0","490","1254","1","0","0","0","100","0","0","0","4482548","406240","368912","37328","0","0","0","0","9","107","2","33","131072","10018","153472","145970","14400","10674","389696","17920","0","14","1","0","32824","87","36","15446","0","0",
"2021-04-15 17:42:42","60475016","36","0","0","0","490","1254","1","0","1","0","100","0","0","0","4482548","383780","346452","37328","0","0","0","0","9","107","2","33","131072","9660","130304","124438","11200","9147","389696","17920","0","14","1","0","32824","82","36","13446","0","2000",
"2021-04-15 17:42:43","60475024","36","0","0","0","490","1254","1","0","0","0","100","0","0","0","4482548","383780","346452","37328","0","0","0","0","9","107","2","33","131072","9660","130304","124438","11200","9147","389696","17920","0","14","1","0","32824","82","36","13446","0","0",
"2021-04-15 17:42:44","60475024","36","0","0","0","491","1255","1","0","0","0","100","0","0","0","4482548","383780","346452","37328","0","0","0","0","9","108","2","33","131072","9660","130304","124438","11200","9147","389696","17920","0","14","1","0","32824","82","36","13446","0","0",
"2021-04-15 17:42:45","60513424","35","0","0","0","491","1254","1","0","0","0","100","0","0","0","4482548","363692","326364","37328","0","0","0","0","9","112","3","33","131072","9302","110144","102907","11200","7619","389696","17920","0","14","1","0","32824","77","36","11446","0","2000",
"2021-04-15 17:42:46","60513424","35","0","0","0","491","1254","1","0","0","0","100","0","0","0","4482548","363692","326364","37328","0","0","0","0","9","108","2","33","131072","9302","110144","102907","11200","7619","389696","17920","0","14","1","0","32824","77","36","11446","0","0",
"2021-04-15 17:42:47","60513860","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","363692","326364","37328","0","0","0","0","9","108","2","33","131072","9302","110144","102907","11200","7619","389696","17920","0","14","1","0","32824","77","36","11446","0","0",
"2021-04-15 17:42:48","60554072","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","340644","303316","37328","0","0","0","0","9","108","3","33","131072","8945","86912","81376","8000","6092","379712","17920","0","14","1","0","32824","72","36","9446","0","2000",
"2021-04-15 17:42:49","60554072","35","0","0","0","491","1253","1","0","0","0","100","0","0","0","4482548","340644","303316","37328","0","0","0","0","9","108","2","33","131072","8945","86912","81376","8000","6092","379712","17920","0","14","1","0","32824","72","36","9446","0","0",
"2021-04-15 17:42:50","60554488","35","0","0","0","491","1251","1","0","0","0","100","0","0","0","4482548","340644","303316","37328","0","0","0","0","9","108","2","33","131072","8945","86912","81376","8000","6092","379712","17920","0","14","1","0","32824","72","36","9446","0","0",
